Age,Gender,Occupation
13.0,Female,Artist
50.0,Female,Teacher
49.78237410071942,Female,Artist
51.0,Male,Scientist
53.0,Female,Teacher
13.0,Male,N/A
50.82427536231884,Male,Teacher
70.0,Female,N/A
3.0,Female,Engineer
72.0,Female,Engineer
51.0,Male,Scientist
49.78237410071942,Female,Nurse
53.0,Female,N/A
97.0,Female,Artist
79.0,Male,Nurse
64.0,Female,Lawyer
39.0,Male,Teacher
46.0,Male,Nurse
74.0,Female,Artist
40.0,Female,Engineer
35.0,Male,N/A
18.0,Female,Engineer
28.0,Female,Teacher
11.0,Male,Artist
66.0,N/A,Teacher
50.82427536231884,Male,Engineer
12.0,Female,Teacher
96.0,Female,Teacher
49.0,Male,Nurse
17.0,Male,Artist
36.0,Male,Artist
46.0,Male,Teacher
90.0,Female,Artist
41.0,N/A,Artist
63.0,Female,Artist
66.0,N/A,N/A
2.0,Male,Lawyer
59.0,Male,Scientist
95.0,Female,Scientist
83.0,N/A,Scientist
90.0,Female,Artist
49.78237410071942,Female,N/A
84.0,Male,Nurse
50.19349722442506,N/A,Doctor
74.0,Female,Artist
27.0,N/A,Artist
86.0,N/A,Nurse
79.0,Female,N/A
86.0,Female,Doctor
48.0,N/A,Engineer
69.0,N/A,Lawyer
4.0,Male,Teacher
71.0,Female,Teacher
50.82427536231884,Male,Scientist
90.0,Female,Nurse
85.0,Female,Doctor
68.0,Female,Artist
29.0,Male,Scientist
50.82427536231884,Male,Teacher
50.82427536231884,Male,Teacher
57.0,N/A,Artist
69.0,N/A,Doctor
56.0,Male,Artist
50.82427536231884,Male,Artist
12.0,Male,N/A
27.0,Female,Nurse
96.0,Female,Engineer
3.0,Male,Engineer
93.0,Female,Artist
50.0,Male,Artist
57.0,Female,Scientist
46.0,N/A,Scientist
57.0,Male,Lawyer
34.0,Male,Artist
18.0,Female,Teacher
9.0,Male,Nurse
54.0,Female,Doctor
77.0,N/A,Teacher
10.0,Female,Teacher
100.0,Female,Lawyer
1.0,N/A,Doctor
94.0,N/A,Teacher
82.0,Female,Artist
77.0,Female,Lawyer
92.0,Female,Doctor
46.0,Male,Doctor
75.0,N/A,Scientist
39.0,Male,Lawyer
50.82427536231884,Male,Nurse
63.0,Female,Scientist
57.0,Female,Scientist
31.0,N/A,N/A
29.0,Female,N/A
75.0,Female,Engineer
50.82427536231884,Male,Nurse
88.0,N/A,Doctor
37.0,Female,Engineer
22.0,Male,Artist
50.82427536231884,Male,Doctor
50.82427536231884,Male,Artist
11.0,Female,Scientist
94.0,Male,Teacher
59.0,N/A,Scientist
57.0,N/A,Engineer
30.0,Male,Teacher
70.0,Female,Doctor
55.0,Female,Artist
55.0,N/A,Teacher
97.0,Female,Nurse
12.0,Female,Teacher
71.0,N/A,Nurse
5.0,Female,Scientist
66.0,Female,Scientist
66.0,Male,Scientist
71.0,Female,Engineer
75.0,Female,Scientist
64.0,N/A,Nurse
30.0,Male,Lawyer
60.0,N/A,Nurse
25.0,Male,Engineer
71.0,N/A,N/A
75.0,Female,Artist
14.0,Female,Teacher
40.0,Male,Engineer
63.0,Female,N/A
5.0,Female,Engineer
4.0,N/A,Teacher
9.0,Male,Doctor
48.0,Female,Artist
28.0,Male,Doctor
93.0,Male,N/A
50.82427536231884,Male,Lawyer
99.0,Female,Teacher
65.0,Male,Engineer
28.0,N/A,Engineer
88.0,Female,N/A
19.0,Male,Nurse
7.0,Female,Engineer
54.0,Male,Teacher
85.0,Female,Engineer
87.0,Male,Lawyer
19.0,Male,Artist
98.0,Female,Scientist
43.0,Male,Nurse
7.0,Male,Nurse
12.0,Male,N/A
84.0,Male,Nurse
96.0,Female,Nurse
90.0,N/A,Artist
91.0,N/A,Lawyer
49.78237410071942,Female,Doctor
80.0,Female,Scientist
10.0,Female,Artist
27.0,Female,Nurse
32.0,Male,Engineer
84.0,Female,Scientist
18.0,N/A,Teacher
5.0,Male,Nurse
66.0,Female,N/A
37.0,Female,Nurse
50.82427536231884,Male,Scientist
87.0,Female,Scientist
95.0,Female,Teacher
45.0,Male,Artist
9.0,Male,Nurse
37.0,Female,Artist
15.0,Female,Artist
34.0,Male,Nurse
41.0,Male,Nurse
85.0,N/A,Doctor
27.0,Female,Engineer
26.0,Female,Artist
11.0,Female,Artist
12.0,Male,Lawyer
68.0,Male,Teacher
62.0,Male,Lawyer
81.0,Female,Lawyer
13.0,Female,Teacher
35.0,Female,Engineer
14.0,N/A,Nurse
64.0,Male,Scientist
66.0,Female,Lawyer
25.0,Female,Teacher
49.78237410071942,Female,N/A
86.0,Male,N/A
12.0,N/A,Nurse
60.0,Female,Engineer
90.0,Female,Engineer
22.0,Female,Artist
45.0,Male,Artist
42.0,Female,Scientist
81.0,N/A,Doctor
66.0,Male,Nurse
92.0,Male,Artist
7.0,Male,Scientist
24.0,N/A,Artist
74.0,Male,N/A
81.0,Female,Doctor
53.0,Female,N/A
39.0,Female,Doctor
56.0,Female,N/A
49.78237410071942,Female,Artist
5.0,Female,N/A
18.0,Male,Scientist
52.0,N/A,Doctor
67.0,N/A,Nurse
53.0,N/A,Lawyer
12.0,Female,Teacher
71.0,Male,Doctor
82.0,Male,Artist
61.0,N/A,Engineer
49.0,Female,N/A
16.0,Male,Artist
16.0,Female,Engineer
43.0,N/A,Engineer
50.82427536231884,Male,Artist
15.0,Female,Teacher
90.0,Male,Scientist
53.0,Female,Nurse
18.0,Female,Scientist
47.0,N/A,N/A
50.0,Female,N/A
0.0,Male,Artist
0.0,Female,Scientist
31.0,Male,Doctor
97.0,N/A,Nurse
23.0,Male,Doctor
44.0,Male,Artist
94.0,Male,N/A
25.0,Male,Doctor
50.82427536231884,Male,Artist
50.82427536231884,Male,Scientist
36.0,Male,Teacher
49.78237410071942,Female,Artist
34.0,Female,Scientist
48.0,Female,Doctor
21.0,Female,Doctor
3.0,Male,Nurse
70.0,Male,Nurse
16.0,Male,Doctor
82.0,Male,Scientist
49.0,Male,Engineer
49.78237410071942,Female,Engineer
96.0,Female,N/A
31.0,N/A,Engineer
22.0,Male,Lawyer
19.0,N/A,Doctor
47.0,N/A,Artist
84.0,Female,Artist
98.0,Male,Scientist
44.0,Male,Doctor
5.0,Female,Engineer
50.0,Male,N/A
24.0,Male,N/A
50.82427536231884,Male,N/A
8.0,Male,Doctor
44.0,Male,Lawyer
19.0,Male,Scientist
94.0,Female,Nurse
0.0,Male,N/A
58.0,Male,Artist
48.0,Male,Teacher
62.0,Female,Engineer
30.0,Male,Engineer
23.0,Male,Nurse
1.0,Female,Teacher
65.0,Male,Teacher
49.78237410071942,Female,N/A
0.0,Female,Artist
7.0,Female,Teacher
64.0,Female,Doctor
30.0,Female,Scientist
51.0,Male,Nurse
50.82427536231884,Male,N/A
66.0,Male,Lawyer
58.0,Male,N/A
49.0,Female,Lawyer
53.0,Male,Engineer
75.0,Female,Lawyer
90.0,Male,Doctor
83.0,Male,Scientist
5.0,Male,Nurse
16.0,Female,Scientist
49.0,Female,Artist
50.82427536231884,Male,Lawyer
89.0,Male,Doctor
50.82427536231884,Male,Engineer
49.0,Male,Artist
40.0,N/A,Nurse
59.0,Male,Doctor
34.0,N/A,Artist
74.0,Male,Engineer
85.0,Female,Scientist
50.82427536231884,Male,Teacher
1.0,Female,Nurse
50.82427536231884,Male,Lawyer
24.0,Male,Lawyer
53.0,Female,Teacher
49.78237410071942,Female,Artist
32.0,Male,Engineer
37.0,Male,Artist
32.0,Female,Engineer
50.0,Male,Artist
49.78237410071942,Female,N/A
62.0,Female,Lawyer
61.0,Male,Engineer
46.0,Male,N/A
40.0,Female,Artist
60.0,Female,Teacher
53.0,Male,Nurse
35.0,Female,Engineer
66.0,Male,Nurse
9.0,N/A,Artist
62.0,Female,Nurse
58.0,Male,Lawyer
83.0,N/A,Lawyer
58.0,Female,Artist
4.0,Male,Nurse
17.0,Male,Scientist
26.0,Female,Doctor
67.0,Female,Scientist
46.0,Female,Engineer
42.0,Male,Lawyer
41.0,Female,Nurse
50.82427536231884,Male,Teacher
77.0,N/A,Teacher
45.0,Female,Artist
65.0,Male,Doctor
16.0,Female,Doctor
17.0,Male,N/A
90.0,Female,Teacher
6.0,Male,Lawyer
49.0,N/A,Scientist
42.0,Male,Artist
25.0,Male,Engineer
2.0,Male,Nurse
14.0,Male,N/A
44.0,Male,Teacher
55.0,N/A,Teacher
56.0,Female,Nurse
50.82427536231884,Male,Lawyer
88.0,Male,Teacher
0.0,Female,Lawyer
34.0,Female,N/A
33.0,Female,Engineer
41.0,Male,Engineer
97.0,Male,Doctor
83.0,Male,Nurse
98.0,Male,N/A
49.78237410071942,Female,Doctor
57.0,Female,Lawyer
63.0,Male,Teacher
86.0,Male,Artist
41.0,Female,Lawyer
74.0,Female,Teacher
17.0,N/A,N/A
97.0,Female,Scientist
50.19349722442506,N/A,Nurse
76.0,Male,Teacher
29.0,Male,Doctor
38.0,N/A,Scientist
100.0,Male,Artist
31.0,Female,Lawyer
81.0,N/A,Doctor
79.0,Female,Nurse
87.0,Male,Doctor
47.0,Female,Doctor
66.0,Female,Teacher
44.0,N/A,Lawyer
98.0,Male,Teacher
99.0,Male,Scientist
15.0,Male,Nurse
12.0,Male,N/A
13.0,Male,Lawyer
50.82427536231884,Male,Artist
61.0,Female,N/A
78.0,Female,Scientist
81.0,Male,Scientist
41.0,Male,Lawyer
36.0,N/A,Lawyer
50.19349722442506,N/A,Nurse
49.78237410071942,Female,Lawyer
1.0,Male,Teacher
21.0,Female,N/A
10.0,Female,Nurse
76.0,Female,Scientist
35.0,Female,Lawyer
9.0,Male,Doctor
49.78237410071942,Female,Doctor
69.0,Female,Teacher
49.78237410071942,Female,Lawyer
57.0,N/A,Nurse
14.0,N/A,Artist
49.78237410071942,Female,Scientist
45.0,Male,Artist
26.0,Male,Engineer
18.0,Male,Engineer
44.0,Female,Lawyer
33.0,N/A,Doctor
24.0,N/A,Artist
28.0,Female,Teacher
43.0,Male,Nurse
6.0,Female,Artist
18.0,Female,Nurse
11.0,Male,Lawyer
92.0,Female,Lawyer
64.0,Male,Lawyer
31.0,Female,Doctor
78.0,Female,N/A
39.0,Female,Engineer
11.0,Male,Doctor
30.0,Female,Lawyer
31.0,Female,Engineer
16.0,N/A,Engineer
96.0,Male,Lawyer
16.0,Female,Lawyer
57.0,Male,Scientist
49.78237410071942,Female,Engineer
75.0,Female,Artist
82.0,Female,Lawyer
21.0,Male,N/A
36.0,Female,Doctor
27.0,Male,Engineer
40.0,Female,Nurse
15.0,Male,N/A
79.0,Female,Doctor
14.0,Female,Engineer
72.0,Female,Engineer
66.0,Female,Artist
83.0,Male,Lawyer
37.0,Male,N/A
52.0,N/A,Lawyer
20.0,Male,Lawyer
44.0,Female,Scientist
78.0,Male,N/A
69.0,N/A,Doctor
50.82427536231884,Male,Teacher
76.0,Male,Lawyer
51.0,Female,Lawyer
50.82427536231884,Male,Lawyer
38.0,Female,Scientist
50.82427536231884,Male,Doctor
56.0,N/A,Doctor
32.0,Male,Scientist
50.82427536231884,Male,Doctor
70.0,Female,Artist
20.0,Male,N/A
50.82427536231884,Male,Teacher
33.0,Male,Engineer
67.0,Female,Doctor
80.0,Male,Scientist
79.0,Male,Doctor
35.0,Female,Scientist
94.0,Female,Scientist
96.0,Male,Teacher
66.0,Male,Artist
92.0,Male,Artist
18.0,Male,Artist
36.0,Female,Teacher
44.0,Female,Doctor
79.0,Female,Engineer
17.0,N/A,N/A
97.0,Female,Artist
22.0,Male,Artist
3.0,Female,N/A
50.82427536231884,Male,N/A
50.82427536231884,Male,Engineer
28.0,Male,Engineer
42.0,Female,Scientist
78.0,Female,Lawyer
88.0,Male,N/A
39.0,Female,Nurse
53.0,Male,Doctor
50.82427536231884,Male,Scientist
54.0,Male,Nurse
89.0,Male,N/A
72.0,Female,Engineer
66.0,Female,Nurse
94.0,Male,Scientist
98.0,Male,Teacher
80.0,N/A,Teacher
47.0,Male,Scientist
23.0,Male,Scientist
49.78237410071942,Female,Artist
50.19349722442506,N/A,N/A
75.0,Female,Nurse
65.0,Male,N/A
50.82427536231884,Male,N/A
74.0,Female,N/A
97.0,Female,Artist
84.0,Male,Artist
86.0,Male,Teacher
31.0,Male,Scientist
28.0,N/A,Teacher
57.0,Male,N/A
33.0,Female,N/A
97.0,Female,Teacher
75.0,Male,Artist
58.0,Male,Doctor
8.0,N/A,Nurse
80.0,Male,Artist
95.0,Male,Scientist
96.0,Male,Nurse
31.0,Male,Teacher
97.0,Female,Teacher
24.0,Male,Scientist
65.0,Female,Doctor
49.78237410071942,Female,Artist
49.78237410071942,Female,Scientist
31.0,Male,Nurse
56.0,Female,Lawyer
49.78237410071942,Female,Artist
50.82427536231884,Male,Engineer
88.0,Female,Artist
27.0,Male,Teacher
90.0,Male,Artist
73.0,Male,N/A
78.0,Male,Engineer
73.0,N/A,Nurse
27.0,Male,Engineer
33.0,N/A,Artist
41.0,Female,Doctor
50.82427536231884,Male,Doctor
16.0,Male,Engineer
32.0,Female,Nurse
55.0,Female,Scientist
14.0,Male,Nurse
55.0,Male,Nurse
64.0,Female,Doctor
84.0,Male,Scientist
54.0,Female,N/A
41.0,Female,Doctor
84.0,Male,N/A
90.0,Male,N/A
99.0,Female,Scientist
22.0,Female,Doctor
86.0,Male,Nurse
78.0,Male,Doctor
22.0,Female,Artist
44.0,Male,Engineer
78.0,Female,Lawyer
43.0,Male,Scientist
89.0,Female,Teacher
15.0,Male,Doctor
49.78237410071942,Female,Nurse
50.82427536231884,Male,Lawyer
9.0,Male,Teacher
49.0,Male,Doctor
57.0,Female,Engineer
40.0,N/A,Doctor
12.0,Female,Artist
63.0,Male,N/A
88.0,Male,Nurse
15.0,Male,Lawyer
73.0,Male,N/A
86.0,Male,Teacher
26.0,N/A,N/A
89.0,N/A,Teacher
86.0,N/A,Scientist
50.82427536231884,Male,Artist
59.0,Male,Scientist
15.0,Male,Nurse
17.0,Female,Lawyer
50.19349722442506,N/A,Nurse
94.0,Male,Artist
50.19349722442506,N/A,Doctor
80.0,N/A,Teacher
74.0,Male,Teacher
67.0,N/A,Engineer
50.82427536231884,Male,Nurse
51.0,N/A,Teacher
50.82427536231884,Male,Lawyer
55.0,N/A,N/A
1.0,N/A,Scientist
25.0,Male,N/A
72.0,Male,Scientist
40.0,N/A,Artist
49.78237410071942,Female,Engineer
91.0,Male,Engineer
61.0,N/A,Scientist
9.0,Female,Nurse
95.0,Female,Artist
49.78237410071942,Female,Lawyer
18.0,Male,N/A
5.0,Female,Engineer
29.0,Female,Artist
50.82427536231884,Male,Lawyer
31.0,Female,Nurse
81.0,Female,Teacher
13.0,Female,Engineer
68.0,Female,Engineer
68.0,Female,Lawyer
94.0,Male,N/A
85.0,Female,N/A
81.0,N/A,Teacher
8.0,Female,Engineer
48.0,Male,Artist
79.0,N/A,Engineer
53.0,Male,Artist
75.0,Male,Teacher
50.82427536231884,Male,Lawyer
27.0,N/A,Scientist
67.0,Female,Engineer
8.0,Female,Nurse
50.82427536231884,Male,Engineer
9.0,Male,Engineer
30.0,Male,Scientist
6.0,Female,Scientist
5.0,Female,Artist
65.0,Male,Doctor
81.0,Male,N/A
70.0,Male,Nurse
98.0,Male,Scientist
49.78237410071942,Female,Teacher
40.0,Male,Artist
78.0,Male,Artist
77.0,Male,Nurse
28.0,Female,Artist
24.0,Male,Teacher
44.0,N/A,Engineer
18.0,Male,Nurse
16.0,Male,Teacher
8.0,Male,Nurse
33.0,Male,Scientist
60.0,Female,Scientist
53.0,Female,Artist
34.0,Male,Lawyer
59.0,N/A,Nurse
28.0,N/A,Nurse
12.0,Male,Teacher
51.0,Male,Teacher
29.0,Male,Scientist
84.0,Male,Engineer
24.0,Male,Teacher
2.0,Male,Artist
28.0,Female,Doctor
19.0,Male,Artist
50.82427536231884,Male,N/A
51.0,Male,Nurse
8.0,Female,Lawyer
49.78237410071942,Female,Lawyer
59.0,Male,Teacher
89.0,Female,Scientist
8.0,Male,Artist
89.0,Male,Teacher
67.0,Female,Lawyer
46.0,Male,Artist
4.0,Male,N/A
90.0,Male,Lawyer
58.0,Male,Lawyer
100.0,Female,Engineer
13.0,Female,N/A
45.0,Female,Artist
71.0,Female,Engineer
47.0,N/A,Doctor
52.0,Female,Doctor
14.0,N/A,Nurse
65.0,Male,Teacher
24.0,Female,Teacher
9.0,Male,Lawyer
44.0,Female,Lawyer
93.0,Female,Nurse
96.0,Male,N/A
0.0,Male,Artist
1.0,N/A,Doctor
50.82427536231884,Male,Doctor
10.0,Male,Nurse
17.0,Male,Doctor
92.0,Female,Doctor
57.0,Male,Lawyer
45.0,Male,Scientist
57.0,Male,Scientist
47.0,Male,N/A
91.0,Male,Engineer
45.0,Female,Teacher
53.0,Male,Doctor
45.0,Male,Doctor
83.0,Female,Nurse
49.78237410071942,Female,Teacher
3.0,Male,Doctor
24.0,N/A,Engineer
63.0,Male,Doctor
33.0,Male,Artist
88.0,Female,Scientist
39.0,Female,Doctor
73.0,Female,N/A
93.0,Female,Scientist
33.0,Male,Nurse
9.0,Male,Teacher
97.0,Male,Scientist
30.0,Female,Artist
37.0,Male,Teacher
6.0,Female,Artist
22.0,N/A,N/A
27.0,Male,Engineer
61.0,Female,Doctor
2.0,N/A,Teacher
2.0,N/A,N/A
10.0,Female,Engineer
37.0,Male,N/A
48.0,N/A,Nurse
36.0,Male,Lawyer
35.0,Female,Artist
50.82427536231884,Male,Teacher
51.0,Male,Teacher
57.0,Male,Artist
24.0,Male,Scientist
18.0,Female,N/A
91.0,Male,Scientist
51.0,Female,Doctor
89.0,Female,N/A
76.0,Male,Artist
81.0,Male,N/A
32.0,N/A,Scientist
34.0,Female,Artist
81.0,Female,Nurse
29.0,Male,N/A
50.82427536231884,Male,Doctor
51.0,Female,Scientist
100.0,Male,Nurse
83.0,Male,Nurse
30.0,Male,Teacher
80.0,Male,Lawyer
60.0,Male,Nurse
6.0,Female,Scientist
4.0,N/A,Nurse
14.0,Male,Engineer
58.0,Male,Artist
41.0,Male,Scientist
34.0,N/A,Nurse
82.0,Male,Scientist
57.0,Female,Scientist
52.0,Male,Doctor
54.0,Male,Artist
35.0,Female,Teacher
22.0,Male,Artist
51.0,Male,Engineer
88.0,Male,Nurse
50.82427536231884,Male,Engineer
93.0,Female,Artist
36.0,N/A,Teacher
52.0,Male,Lawyer
12.0,N/A,Scientist
50.0,Male,Engineer
68.0,Female,Engineer
9.0,Female,Engineer
70.0,Female,Doctor
10.0,Male,Teacher
24.0,Male,Lawyer
62.0,Male,Engineer
58.0,Male,Engineer
29.0,N/A,N/A
53.0,Female,Scientist
58.0,Male,Engineer
42.0,N/A,Doctor
50.82427536231884,Male,Lawyer
37.0,Male,Artist
89.0,Male,Teacher
49.78237410071942,Female,N/A
95.0,Female,Engineer
50.19349722442506,N/A,Artist
86.0,Male,Scientist
70.0,Female,Teacher
24.0,Male,Doctor
56.0,Male,Artist
97.0,Female,Doctor
30.0,Male,Teacher
4.0,Male,Scientist
49.78237410071942,Female,Scientist
17.0,Male,Doctor
30.0,N/A,Doctor
49.78237410071942,Female,Lawyer
70.0,N/A,Nurse
53.0,N/A,Teacher
50.82427536231884,Male,Lawyer
79.0,Female,Teacher
96.0,Male,Lawyer
41.0,Male,Engineer
38.0,Male,Teacher
50.0,Female,Nurse
7.0,Male,Teacher
5.0,Male,N/A
50.82427536231884,Male,Engineer
75.0,Female,Artist
71.0,Male,Nurse
64.0,Female,Nurse
42.0,Female,Nurse
51.0,N/A,Scientist
59.0,Male,Doctor
16.0,Female,Lawyer
56.0,Male,Doctor
76.0,N/A,N/A
3.0,Female,Nurse
77.0,Male,N/A
17.0,Female,Teacher
78.0,Male,Engineer
50.82427536231884,Male,Lawyer
55.0,Male,N/A
80.0,Male,Artist
80.0,Male,Doctor
50.82427536231884,Male,Teacher
34.0,N/A,N/A
87.0,Female,Lawyer
84.0,Male,N/A
90.0,Male,Nurse
90.0,Male,Artist
38.0,Male,Teacher
39.0,Male,Engineer
87.0,Female,Teacher
52.0,Female,N/A
98.0,Male,Scientist
82.0,N/A,Nurse
3.0,Male,Lawyer
95.0,Female,Engineer
21.0,N/A,Scientist
73.0,Male,Lawyer
68.0,N/A,Scientist
35.0,N/A,Scientist
37.0,Female,N/A
62.0,Female,Doctor
23.0,Male,Doctor
35.0,Female,Doctor
3.0,Male,Scientist
59.0,Male,Lawyer
10.0,Female,Doctor
46.0,Female,Artist
34.0,Female,Engineer
52.0,Male,Scientist
6.0,Male,Teacher
12.0,Male,N/A
76.0,Male,Lawyer
19.0,Male,Engineer
82.0,N/A,Engineer
16.0,Female,Scientist
74.0,Female,Nurse
66.0,Male,Nurse
59.0,Female,Nurse
95.0,N/A,Engineer
87.0,Male,Teacher
9.0,Male,Nurse
93.0,Male,Nurse
50.82427536231884,Male,Artist
19.0,Male,Lawyer
59.0,N/A,Doctor
38.0,Female,Doctor
52.0,Female,Lawyer
60.0,Male,Doctor
95.0,Male,Artist
19.0,Male,Lawyer
70.0,Male,Nurse
49.78237410071942,Female,Lawyer
16.0,Male,N/A
45.0,Female,Lawyer
92.0,Male,N/A
50.82427536231884,Male,Scientist
23.0,Male,Scientist
31.0,Female,Nurse
95.0,Male,Doctor
65.0,Female,Doctor
54.0,Male,Nurse
98.0,Male,Engineer
64.0,Male,Artist
89.0,Male,Scientist
72.0,Female,Nurse
98.0,Male,Nurse
26.0,Female,N/A
99.0,Male,Teacher
29.0,Male,Artist
72.0,Male,Lawyer
92.0,Female,Doctor
94.0,Male,Lawyer
6.0,Male,Doctor
66.0,Male,Teacher
85.0,Male,Nurse
95.0,Male,Teacher
49.78237410071942,Female,Doctor
23.0,Female,Scientist
0.0,Female,Doctor
29.0,Female,Nurse
32.0,Male,Lawyer
49.78237410071942,Female,Artist
72.0,Male,Teacher
44.0,Female,Scientist
10.0,Male,N/A
99.0,Female,Artist
70.0,N/A,Engineer
39.0,Male,Nurse
10.0,N/A,Doctor
3.0,Male,N/A
81.0,Female,Nurse
59.0,Male,Nurse
77.0,Female,Scientist
41.0,Female,Teacher
63.0,N/A,Lawyer
31.0,Male,Lawyer
83.0,Male,Engineer
